Ontology	GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GOMFID	GOCCID
BP	GO:0002181	5.62970419484919e-23	34.5063430777716	1.5270413573701	23	72	cytoplasmic translation	NA	NA
BP	GO:0043043	1.68279101678472e-14	8.36602564102564	6.83385909568875	31	291	peptide biosynthetic process	NA	NA
BP	GO:0043603	1.78833728140996e-12	6.33841463414634	10.4504030844725	35	445	amide metabolic process	NA	NA
BP	GO:0044271	6.56215670824473e-05	2.67083985393845	24.2825096389765	40	1034	cellular nitrogen compound biosynthetic process	NA	NA
BP	GO:0016072	8.36509649616796e-05	5.25536062378168	2.34840518752191	10	100	rRNA metabolic process	NA	NA
BP	GO:0000470	0.000119429927538379	22.047619047619	0.281808622502629	4	12	maturation of LSU-rRNA	NA	NA
BP	GO:1901576	0.000279376201707016	2.95576407506702	32.1500917431193	45	1537	organic substance biosynthetic process	NA	NA
BP	GO:0002183	0.000312238184171546	16.017316017316	0.352260778128286	4	15	cytoplasmic translational initiation	NA	NA
BP	GO:0009067	0.000312238184171546	16.017316017316	0.352260778128286	4	15	aspartate family amino acid biosynthetic process	NA	NA
BP	GO:1901564	0.0005176823467317	2.63770712046574	37.1096228410293	50	1645	organonitrogen compound metabolic process	NA	NA
BP	GO:0000460	0.000525428156319955	13.5433455433455	0.399228881878724	4	17	maturation of 5.8S rRNA	NA	NA
BP	GO:0016053	0.000650133742361991	3.966696402022	3.00595864002804	10	128	organic acid biosynthetic process	NA	NA
BP	GO:0002182	0.000940155393608277	21.71875	0.211356466876972	3	9	cytoplasmic translational elongation	NA	NA
BP	GO:0042273	0.00119067154170834	10.3954802259887	0.487856388595565	4	22	ribosomal large subunit biogenesis	NA	NA
BP	GO:0006450	0.0012122753432941	19.2027649769585	0.228070175438596	3	10	regulation of translational fidelity	NA	NA
BP	GO:1901607	0.00167949030292765	9.33898305084746	0.53276955602537	4	24	alpha-amino acid biosynthetic process	NA	NA
BP	GO:0019752	0.00247136354464874	2.6210415200563	6.88050757842792	15	305	carboxylic acid metabolic process	NA	NA
BP	GO:0034470	0.00316123148065051	2.96686622625929	4.32106554504031	11	184	ncRNA processing	NA	NA
BP	GO:0008152	0.00358941494482082	13.6	0.8	4	84	metabolic process	NA	NA
BP	GO:0044237	0.00382436647818882	2.93432007400555	52.205047318612	61	2223	cellular metabolic process	NA	NA
BP	GO:0008652	0.00415035716517064	32.187134502924	0.104832977967306	2	5	amino acid biosynthetic process	NA	NA
BP	GO:0010467	0.00471647706117903	1.96397676717746	28.0634419908868	39	1195	gene expression	NA	NA
BP	GO:0006616	0.00519094023496723	28.5435897435897	0.117420259376095	2	5	SRP-dependent cotranslational protein targeting to membrane, translocation	NA	NA
BP	GO:0000096	0.00557040954171697	9.99879807692308	0.375744830003505	3	16	sulfur amino acid metabolic process	NA	NA
BP	GO:0098754	0.00680969485524529	6.03612479474548	0.774973711882229	4	33	detoxification	NA	NA
BP	GO:0071265	0.00766865715786342	21.4	0.140904311251314	2	6	L-methionine biosynthetic process	NA	NA
BP	GO:0006537	0.00766865715786342	21.4	0.140904311251314	2	6	glutamate biosynthetic process	NA	NA
MF	NA	7.7076817173744e-13	13.4262719172176	2.18185144529821	18	89	structural constituent of ribosome	GO:0003735	NA
MF	NA	8.84609320009147e-07	4.28355732536917	7.36242603550296	22	316	RNA binding	GO:0003723	NA
MF	NA	8.46994845495485e-05	2.65166666666667	27.4079765825101	43	1118	heterocyclic compound binding	GO:1901363	NA
MF	NA	0.00010083061441404	2.62292051756007	27.5795828759605	43	1125	organic cyclic compound binding	GO:0097159	NA
MF	NA	0.000432633070175523	5.98202614379085	1.42188071716063	7	58	translation regulator activity, nucleic acid binding	GO:0090079	NA
MF	NA	0.00144245455438171	9.89355742296919	0.514818880351262	4	21	4 iron, 4 sulfur cluster binding	GO:0051539	NA
MF	NA	0.00378650211637246	7.29606625258799	0.661909989023052	4	27	transferase activity, transferring alkyl or aryl (other than methyl) groups	GO:0016765	NA
MF	NA	0.00433699015566689	6.98941798941799	0.686425173801683	4	28	metal cluster binding	GO:0051540	NA
MF	NA	0.00493917726390858	6.70730158730159	0.710940358580315	4	29	rRNA binding	GO:0019843	NA
MF	NA	0.0074885958234577	8.87946428571429	0.416758141236736	3	17	NAD(P)H dehydrogenase (quinone) activity	GO:0003955	NA
MF	NA	0.0074885958234577	8.87946428571429	0.416758141236736	3	17	NADH dehydrogenase (ubiquinone) activity	GO:0008137	NA
MF	NA	0.00833446945740656	20.4769230769231	0.147091108671789	2	6	carbon-sulfur lyase activity	GO:0016846	NA
MF	NA	0.00879790806423825	5.57883597883598	0.833516282473472	4	34	translation initiation factor activity	GO:0003743	NA
MF	NA	0.00883039962138905	8.284375	0.441273326015368	3	18	NADH dehydrogenase activity	GO:0003954	NA
CC	NA	7.51014185394501e-15	33.6973913043478	0.829422066549912	14	37	cytosolic large ribosomal subunit	NA	GO:0022625
CC	NA	1.88247905383942e-13	14.7771739130435	2.01751313485114	18	90	ribosomal subunit	NA	GO:0044391
CC	NA	1.25683765342589e-07	26.2429149797571	0.448336252189142	7	20	preribosome, large subunit precursor	NA	GO:0030687
CC	NA	1.13064576024983e-06	186	0.112084063047285	4	5	storage vacuole	NA	GO:0000322
CC	NA	0.000615792739528391	3.83398058252427	3.61012658227848	11	217	ribonucleoprotein complex	NA	GO:1990904
CC	NA	0.00204632028335476	15.2021857923497	0.269001751313485	3	12	eukaryotic translation initiation factor 3 complex	NA	GO:0005852
CC	NA	0.00311776882272352	4.20510576221736	50.2718958846289	58	2343	cytoplasm	NA	GO:0005737
CC	NA	0.00313976073805417	7.68611111111111	0.627670753064799	4	28	cytosolic small ribosomal subunit	NA	GO:0022627
