Ontology	GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GOMFID	GOCCID
BP	GO:0002181	7.19866258207634e-18	87.9315068493151	0.611814345991561	14	87	cytoplasmic translation	NA	NA
BP	GO:0043043	5.18359993031215e-13	26.4306569343066	2.3459516298633	17	291	peptide biosynthetic process	NA	NA
BP	GO:0043603	1.60139120758534e-12	26.8051643192488	3.58745180511742	19	445	amide metabolic process	NA	NA
BP	GO:0044271	6.3835459564023e-06	8.49384236453202	8.33578689099194	19	1034	cellular nitrogen compound biosynthetic process	NA	NA
BP	GO:0002182	3.72779771357986e-05	70.6	0.0725552050473186	3	9	cytoplasmic translational elongation	NA	NA
BP	GO:0010467	7.2721138904425e-05	6.68069727891156	9.63371889239397	19	1195	gene expression	NA	NA
BP	GO:0019538	0.000495728592273939	5.38763197586727	10.8429723098493	19	1345	protein metabolic process	NA	NA
BP	GO:1901576	0.000586370540633932	7.57481751824818	13.4227129337539	21	1665	organic substance biosynthetic process	NA	NA
BP	GO:0042254	0.00304816132222851	6.06182795698925	1.03995793901157	5	129	ribosome biogenesis	NA	NA
BP	GO:0044237	0.00313824194561523	Inf	17.9211356466877	23	2223	cellular metabolic process	NA	NA
BP	GO:0000470	0.00390749864754249	26.8571428571429	0.0967402733964248	2	12	maturation of LSU-rRNA	NA	NA
BP	GO:0009067	0.0061257046988788	20.6373626373626	0.120925341745531	2	15	aspartate family amino acid biosynthetic process	NA	NA
MF	NA	1.37644351574642e-16	61.5066666666667	0.716428832784486	14	89	structural constituent of ribosome	GO:0003735	NA
MF	NA	1.49684520966048e-06	10.7295081967213	2.22041420118343	11	316	RNA binding	GO:0003723	NA
MF	NA	0.000557480376218945	4.97184377838329	8.99963410171972	17	1118	heterocyclic compound binding	GO:1901363	NA
MF	NA	0.000608373233467066	4.91895306859206	9.05598243688255	17	1125	organic cyclic compound binding	GO:0097159	NA
MF	NA	0.00144527655270077	16.3056680161943	0.233443102817417	3	29	rRNA binding	GO:0019843	NA
MF	NA	0.00457378563279906	24.5454545454545	0.104646908159532	2	13	translation elongation factor activity	GO:0003746	NA
CC	NA	3.8272153835362e-18	122.487272727273	0.298073555166375	12	37	cytosolic large ribosomal subunit	NA	GO:0022625
CC	NA	2.21461128785784e-16	56.4093567251462	0.725043782837128	14	90	ribosomal subunit	NA	GO:0044391
CC	NA	1.42566561476637e-05	37.0526315789474	0.161120840630473	4	20	preribosome, large subunit precursor	NA	GO:0030687
CC	NA	0.000552966487546127	4.45012635647391	7.8707530647986	16	977	intracellular non-membrane-bounded organelle	NA	GO:0043232
CC	NA	0.000649081440336299	5.21444444444444	11.0287215411559	19	1369	protein-containing complex	NA	GO:0032991
CC	NA	0.00644700595567304	20.5703703703704	0.124911284599006	2	32	cytosolic ribosome	NA	GO:0022626
