TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0002181"	"cytoplasmic translation"	-17.14274818234325	5.207542813955311	0.3974763229665376	0.5164752700491048	0	-5.68946643936223	-0.9321684487509186	null
"GO:0002182"	"cytoplasmic translational elongation"	-4.4285476623748155	3.592953571547866	0.009651922492400466	0.6301040263110808	0.40463405	-6.997232603632753	0.31579944671078614	null
"GO:0009067"	"aspartate family amino acid biosynthetic process"	-2.212843943007506	5.4871935429333805	0.7567688912721283	0.5976722519376751	0.32334479	-3.9659903544235653	0.1963464317957279	null
"GO:0010467"	"gene expression"	-4.138339328135457	6.710774489460372	12.663260691525247	0.4805618916947253	0.45657675	-5.277913404728938	-3.147106324292553	null
"GO:0019538"	"protein metabolic process"	-3.304756031450534	6.772611164347735	14.600987650961638	0.5814010917657237	0.25311126	-1.6589423126181373	-2.245286189149488	null
"GO:0042254"	"ribosome biogenesis"	-2.515962051932293	5.937876312844991	2.136224808753416	0.8566775221218071	0.01124266	2.430120910313311	4.971024115067058	null
"GO:0000470"	"maturation of LSU-rRNA"	-2.4081011636260974	4.920384242178358	0.20518715412917427	0.5402253215561588	0.71363762	null	null	42254
"GO:0043043"	"peptide biosynthetic process"	-12.285368524645675	6.2703058580872275	4.592791896959665	0.4486401026509288	0.64900656	-4.232245164252673	-1.4690635116358894	null
"GO:0043603"	"amide metabolic process"	-11.79550256030971	6.434781688128081	6.707376287050344	0.7467108711500258	0.13247309	2.5875538834994685	-2.7308583342266957	null
"GO:0044237"	"cellular metabolic process"	-2.503313577130516	7.271961032709232	46.10331480933213	0.7803212979260934	0.13458491	-0.15255714486036248	-7.79614808166176	null
"GO:0044271"	"cellular nitrogen compound biosynthetic process"	-5.19493801069893	6.72073425943514	12.957025677761646	0.5190400599529365	0.27730588	-3.1357679101206397	-3.488483488051201	null
"GO:1901576"	"organic substance biosynthetic process"	-3.2318278568551717	7.058749650643281	28.21764434528959	0.5334216187336361	0.53115188	-4.421310976977532	-4.415005284314134	null
