Ontology	GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GOMFID	GOCCID
BP	GO:0040003	1.43469190840998e-13	25.8385416666667	0.707544364032914	13	117	chitin-based cuticle development	NA	NA
BP	GO:0051612	0.000355558284616555	113.254237288136	0.0302369386338852	2	5	negative regulation of serotonin uptake	NA	NA
BP	GO:0006837	0.00359072318129352	26.109517601043	0.0907108159016556	2	15	serotonin transport	NA	NA
BP	GO:0042136	0.00537857571553821	9.20874384236453	0.356795875879845	3	59	neurotransmitter biosynthetic process	NA	NA
BP	GO:0030195	0.00575760005103113	19.9581256231306	0.114900366808764	2	19	negative regulation of blood coagulation	NA	NA
BP	GO:0006541	0.00911457945249115	15.4144838212635	0.145137305442649	2	24	glutamine metabolic process	NA	NA
BP	GO:0098810	0.00986886967871747	14.7428150331614	0.151184693169426	2	25	neurotransmitter reuptake	NA	NA
BP	GO:0051580	0.00986886967871747	14.7428150331614	0.151184693169426	2	25	regulation of neurotransmitter uptake	NA	NA
MF	NA	7.50648771034299e-18	118.011015911873	0.183299389002037	11	30	structural constituent of chitin-based larval cuticle	GO:0008010	NA
MF	NA	1.75713961646608e-17	106.747508305648	0.195519348268839	11	32	structural constituent of cuticle	GO:0042302	NA
MF	NA	0.000941629654815824	10.2541176470588	0.439918533604888	4	72	monooxygenase activity	GO:0004497	NA
MF	NA	0.00648845918315365	18.7307692307692	0.122199592668024	2	20	sodium channel regulator activity	GO:0017080	NA
MF	NA	0.00714352769860604	17.7429149797571	0.128309572301426	2	21	low-density lipoprotein particle receptor activity	GO:0005041	NA
MF	NA	0.00784033116761287	8.01470588235294	0.409368635437882	3	67	serine-type endopeptidase activity	GO:0004252	NA
CC	NA	2.49842813914498e-07	9.01577503429355	1.51957006692355	11	254	extracellular matrix	NA	GO:0031012
CC	NA	2.85365229786779e-06	5.56246545052515	3.3250700582022	14	617	extracellular region	NA	GO:0005576
CC	NA	0.00742544168132153	2.8887652173913	3.49381464206043	9	584	extracellular space	NA	GO:0005615
